2024-07-26 16:18:19.164 [info] Default formatter is set to null for workspace /home/shahnawaz_nazimali
2024-07-26 16:18:19.164 [info] Test server listening.
2024-07-26 16:18:19.164 [info] Python interpreter path: /bin/python
2024-07-26 16:18:19.799 [info] > pyenv which python
2024-07-26 16:18:19.799 [info] cwd: .
2024-07-26 16:18:22.120 [info] Starting Jedi language server for shahnawaz_nazimali.
2024-07-26 16:30:56.174 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:00.375 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:02.103 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:03.715 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:07.428 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:11.440 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:13.728 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:16.782 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:18.550 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:22.715 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:31:24.858 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:32:48.371 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:32:53.335 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:32:54.633 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:33:19.742 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:33:42.689 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:33:44.602 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:35:31.600 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:35:34.464 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:36:37.159 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:36:38.454 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:36:40.213 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:37:05.255 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:37:14.032 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-26 16:37:15.663 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
