2024-07-29 08:00:46.994 [info] Default formatter is set to null for workspace /home/shahnawaz_nazimali
2024-07-29 08:00:46.994 [info] Test server listening.
2024-07-29 08:00:46.994 [info] Python interpreter path: /bin/python
2024-07-29 08:00:47.440 [info] > pyenv which python
2024-07-29 08:00:47.441 [info] cwd: .
2024-07-29 08:00:51.211 [info] Starting Jedi language server for shahnawaz_nazimali.
2024-07-29 08:14:17.171 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:14:20.388 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:15:25.841 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:15:27.246 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:15:49.857 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:16:43.768 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:19.171 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:20.489 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:22.746 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:26.899 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:31.158 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:32.713 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:40.455 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:44.857 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:49.432 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:55.967 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
2024-07-29 08:17:59.035 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/inventory/app/main.py
