2024-07-29 15:18:09.995 [info] Default formatter is set to null for workspace /home/shahnawaz_nazimali
2024-07-29 15:18:09.995 [info] Test server listening.
2024-07-29 15:18:09.995 [info] Python interpreter path: /bin/python
2024-07-29 15:18:13.997 [info] > pyenv which python
2024-07-29 15:18:13.998 [info] cwd: .
2024-07-29 15:18:16.479 [info] Starting Jedi language server for shahnawaz_nazimali.
2024-07-29 15:48:04.670 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:48:06.245 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:48:08.078 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:48:10.925 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:48:14.881 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:49:03.169 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:49:05.088 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:01.735 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:05.534 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:10.651 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:12.956 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:15.385 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:16.868 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:21.852 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:25.363 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:56:27.991 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:25.783 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:30.605 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:32.795 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:39.785 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:47.527 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:57:52.443 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:58:04.992 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:58:14.158 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
2024-07-29 15:58:21.010 [info] Discover tests for workspace name: shahnawaz_nazimali - uri: /home/shahnawaz_nazimali/martproject/orders/app/main.py
